id,osm_node_id,district,latitude,longitude,name,crossing_barrier,crossing_activation,crossing_supervision,crossing_light,crossing_bell,access,osm_url
osm-node-566142879,566142879,East Singhbhum,22.7497246,86.2449489,,,,,,,,https://www.openstreetmap.org/node/566142879
osm-node-566143121,566143121,East Singhbhum,22.7322609,86.2861142,,full,local,attendant,,,,https://www.openstreetmap.org/node/566143121
osm-node-566144904,566144904,East Singhbhum,22.6932686,86.2013282,,,,,,,,https://www.openstreetmap.org/node/566144904
osm-node-566146084,566146084,East Singhbhum,22.7382516,86.1964665,,full,local,attendant,,,,https://www.openstreetmap.org/node/566146084
osm-node-566146244,566146244,East Singhbhum,22.7491397,86.2008327,,,,,,,,https://www.openstreetmap.org/node/566146244
osm-node-566146540,566146540,East Singhbhum,22.7575076,86.2089924,,,,,,,,https://www.openstreetmap.org/node/566146540
osm-node-566150089,566150089,East Singhbhum,22.7806416,86.184863,,,,,,,,https://www.openstreetmap.org/node/566150089
osm-node-577490113,577490113,East Singhbhum,22.7129349,86.3124196,,,,,,,,https://www.openstreetmap.org/node/577490113
osm-node-749453276,749453276,East Singhbhum,22.7557834,86.2380478,,,,,,,,https://www.openstreetmap.org/node/749453276
osm-node-1323456197,1323456197,East Singhbhum,22.5307839,86.1581486,,,,,,,,https://www.openstreetmap.org/node/1323456197
osm-node-1323456373,1323456373,East Singhbhum,22.5754592,86.1485945,,full,local,attendant,,,,https://www.openstreetmap.org/node/1323456373
osm-node-1323457006,1323457006,East Singhbhum,22.7598669,86.2229523,,,,,,,,https://www.openstreetmap.org/node/1323457006
osm-node-1323457082,1323457082,East Singhbhum,22.7672669,86.2115999,,no,,,,,,https://www.openstreetmap.org/node/1323457082
osm-node-1323457101,1323457101,East Singhbhum,22.7679717,86.2121269,,no,,,,,,https://www.openstreetmap.org/node/1323457101
osm-node-1323457147,1323457147,East Singhbhum,22.7691474,86.212428,,no,,,,,,https://www.openstreetmap.org/node/1323457147
osm-node-1347805884,1347805884,East Singhbhum,22.7552123,86.2371439,,,,,,,,https://www.openstreetmap.org/node/1347805884
osm-node-1347805892,1347805892,East Singhbhum,22.7852292,86.214068,,no,,,,,,https://www.openstreetmap.org/node/1347805892
osm-node-2519245921,2519245921,East Singhbhum,22.7498341,86.2449977,,,,,,,,https://www.openstreetmap.org/node/2519245921
osm-node-2519533976,2519533976,East Singhbhum,22.5915891,86.4681217,,,,,,,,https://www.openstreetmap.org/node/2519533976
osm-node-2519534157,2519534157,East Singhbhum,22.6578669,86.3725485,,,,,,,,https://www.openstreetmap.org/node/2519534157
osm-node-2519555631,2519555631,East Singhbhum,22.4755519,86.6856687,,,,,,,,https://www.openstreetmap.org/node/2519555631
osm-node-2519555691,2519555691,East Singhbhum,22.4789972,86.6867655,,,,,,,,https://www.openstreetmap.org/node/2519555691
osm-node-2519555762,2519555762,East Singhbhum,22.4803348,86.7474871,,,,,,,,https://www.openstreetmap.org/node/2519555762
osm-node-2519555790,2519555790,East Singhbhum,22.4827447,86.7793585,,,,,,,,https://www.openstreetmap.org/node/2519555790
osm-node-2519555791,2519555791,East Singhbhum,22.4827073,86.7793637,,,,,,,,https://www.openstreetmap.org/node/2519555791
osm-node-2519555951,2519555951,East Singhbhum,22.5139347,86.5423376,,full,local,attendant,,,,https://www.openstreetmap.org/node/2519555951
osm-node-2519556017,2519556017,East Singhbhum,22.547589,86.5179407,,,,,,,,https://www.openstreetmap.org/node/2519556017
osm-node-2519556018,2519556018,East Singhbhum,22.5475901,86.5180077,,,,,,,,https://www.openstreetmap.org/node/2519556018
osm-node-2519556080,2519556080,East Singhbhum,22.5837772,86.4839167,,,,,,,,https://www.openstreetmap.org/node/2519556080
osm-node-2689354030,2689354030,East Singhbhum,22.6181953,86.1675818,,full,local,attendant,,,,https://www.openstreetmap.org/node/2689354030
osm-node-2689354296,2689354296,East Singhbhum,22.6525182,86.4031985,,full,local,attendant,,,,https://www.openstreetmap.org/node/2689354296
osm-node-2689354300,2689354300,East Singhbhum,22.6525583,86.4032244,,full,local,attendant,,,,https://www.openstreetmap.org/node/2689354300
osm-node-3015052272,3015052272,East Singhbhum,22.6713847,86.3565442,,full,local,attendant,,,,https://www.openstreetmap.org/node/3015052272
